Wavelength (nm),SLS201L Power (a.u.)
624,0.382113395
625,0.384566943
626,0.387164808
627,0.389215777
628,0.391795334
629,0.393986766
630,0.395540751
631,0.398574122
632,0.399993937
633,0.402427749
634,0.404654082
635,0.407218581
636,0.409437093
637,0.410384943
638,0.413263558
639,0.41518729
640,0.417046559
641,0.419444441
642,0.421991841
643,0.424299627
644,0.427041272
645,0.428466958
646,0.430556287
647,0.432897214
648,0.43499052
649,0.437564106
650,0.439377166
651,0.441733635
652,0.443234605
653,0.445481352
654,0.447945084
655,0.450094964
656,0.453142863
657,0.455168056
658,0.456704133
659,0.460181803
660,0.46173428
661,0.465344222
662,0.466702347
663,0.469269729
664,0.470925154
665,0.474352586
666,0.476163021
667,0.478353115
668,0.481306895
669,0.483288179
670,0.486050455
671,0.488823644
672,0.490865374
673,0.493749382
674,0.495624998
675,0.498941229
676,0.499697016
677,0.50346027
678,0.505085283
679,0.508329473
680,0.51118869
681,0.512905452
682,0.514520357
683,0.518771284
684,0.520804155
685,0.522909127
686,0.525137976
687,0.52792723
688,0.529919553
689,0.532481667
690,0.535647997
691,0.53754649
692,0.539748534
693,0.541908976
694,0.543251278
695,0.546550114
696,0.548064343
697,0.550312632
698,0.55317043
699,0.55654075
700,0.557659957
701,0.559339678
702,0.561409978
703,0.564682078
704,0.566908426
705,0.568230312
706,0.571532846
707,0.572488752
708,0.575375665
709,0.57754313
710,0.579503671
711,0.582626093
712,0.583364137
713,0.585955598
714,0.587080079
715,0.58889986
716,0.593170158
717,0.594865545
718,0.595805506
719,0.597358117
720,0.600506582
721,0.601591992
722,0.604672885
723,0.605673796
724,0.607623818
725,0.608532269
726,0.611509539
727,0.612895544
728,0.616199599
729,0.617284944
730,0.619932433
731,0.621177043
732,0.624086089
733,0.625182898
734,0.627695623
735,0.630632486
736,0.63290034
737,0.634036733
738,0.637764967
739,0.637860354
740,0.642175367
741,0.642267098
742,0.644168263
743,0.646697961
744,0.648962812
745,0.651687851
746,0.651849385
747,0.65642892
748,0.657475727
749,0.65978303
750,0.662708806
751,0.665411298
752,0.667623885
753,0.670250156
754,0.671340316
755,0.673422757
756,0.674793313
757,0.678261267
758,0.679968722
759,0.680824218
760,0.685203575
761,0.686241973
762,0.688713098
763,0.692321428
764,0.693573206
765,0.694648545
766,0.697615291
767,0.697951684
768,0.701598488
769,0.703604704
770,0.705866748
771,0.708806751
772,0.710790713
773,0.711031517
774,0.712744746
775,0.716672419
776,0.71742105
777,0.720396997
778,0.721997386
779,0.724661481
780,0.724527819
781,0.727842133
782,0.728867024
783,0.733413915
784,0.733136573
785,0.735367395
786,0.738391683
787,0.739215006
788,0.739212229
789,0.743423728
790,0.742820834
791,0.743401104
792,0.746499444
793,0.746899236
794,0.74602555
795,0.749611115
796,0.750118832
797,0.752348574
798,0.754637853
799,0.756763578
800,0.75873556
801,0.759609842
802,0.76311728
803,0.763578329
804,0.766776161
805,0.765853998
806,0.769060204
807,0.769666715
808,0.770961469
809,0.773873249
810,0.774098532
811,0.77634794
812,0.777076237
813,0.777885076
814,0.779237658
815,0.781542683
816,0.782143353
817,0.78269268
818,0.784886878
819,0.785498556
820,0.788688957
821,0.789215411
822,0.790848025
823,0.792588786
824,0.795529745
825,0.79522041
826,0.798370372
827,0.799528808
828,0.798479283
829,0.802799046
830,0.802329233
831,0.804680127
832,0.805230009
833,0.808096882
834,0.809151693
835,0.809022301
836,0.812251438
837,0.814529667
838,0.817690117
839,0.817134238
840,0.821504537
841,0.822055898
842,0.82403795
843,0.824346557
844,0.825823851
845,0.830021649
846,0.830704287
847,0.834553255
848,0.833112938
849,0.837037635
850,0.836853321
851,0.840141437
852,0.841622187
853,0.843148287
854,0.845636616
855,0.848227342
856,0.848110251
857,0.848657975
858,0.85251729
859,0.854112386
860,0.855797772
861,0.85728599
862,0.861118935
863,0.859384476
864,0.863613309
865,0.862099043
866,0.864185491
867,0.868203369
868,0.868471113
869,0.869532169
870,0.870004672
871,0.871117003
872,0.875883195
873,0.87744744
874,0.881005265
875,0.8829255
876,0.888470617
877,0.893180422
878,0.895370729
879,0.897154446
880,0.900177322
881,0.906750932
882,0.9086599
883,0.912416646
884,0.913906708
885,0.915978869
886,0.917391839
887,0.922879068
888,0.920502605
889,0.922574444
890,0.921011852
891,0.921507508
892,0.922705424
893,0.923791616
894,0.921538532
895,0.921929027
896,0.922956738
897,0.920307676
898,0.919072164
899,0.92248158
900,0.917556272
901,0.91786075
902,0.920726642
903,0.924530722
904,0.921546261
905,0.92284501
906,0.922983197
907,0.919645882
908,0.920485275
909,0.923382713
910,0.922423098
911,0.924649793
912,0.926455948
913,0.926130021
914,0.930899924
915,0.927802875
916,0.927382773
917,0.93150367
918,0.932695638
919,0.93659626
920,0.936389298
921,0.934945031
922,0.935771648
923,0.938398727
924,0.94071408
925,0.944760666
926,0.941573896
927,0.94384681
928,0.944692444
929,0.945529491
930,0.94724864
931,0.945984368
932,0.946693205
933,0.947230097
934,0.94850152
935,0.950047197
936,0.949270119
937,0.954970761
938,0.953674755
939,0.954339951
940,0.951426158
941,0.952023685
942,0.95185231
943,0.955028752
944,0.958708568
945,0.953725879
946,0.950559854
947,0.961350744
948,0.954648489
949,0.957988192
950,0.959275551
951,0.95662705
952,0.953331613
953,0.955306827
954,0.95392284
955,0.955144642
956,0.958636725
957,0.958123489
958,0.960066084
959,0.958809901
960,0.957244851
961,0.952832914
962,0.964473406
963,0.962190508
964,0.9604605
965,0.958031559
966,0.957131498
967,0.956747189
968,0.958077287
969,0.948132192
970,0.960157986
971,0.9560962
972,0.954493206
973,0.955009689
974,0.953888565
975,0.944973687
976,0.945806763
977,0.949231653
978,0.950011947
979,0.956038045
980,0.946928541
981,0.982265463
982,0.98097168
983,0.967382218
984,0.963395279
985,0.966752449
986,0.971579505
987,0.975400453
988,0.977786018
989,0.978815003
990,0.979511647
991,0.980879073
992,0.98293866
993,0.985273932
994,0.987779959
995,0.990816962
996,0.994391273
997,0.996410824
998,0.994190406
999,0.988096317
1000,0.981918273
1001,0.978700831
1002,0.977891507
1003,0.978105854
1004,0.97866781
1005,0.979502123
1006,0.980466844
1007,0.981177579
1008,0.981333568
1009,0.982078132
1010,0.985464218
1011,0.991799025
1012,0.997736239
1013,1
1014,0.999452587
1015,0.998889419
1016,0.999453103
1017,0.999717593
1018,0.998362959
1019,0.995885853
1020,0.993375154
1021,0.990793755
1022,0.986803972
1023,0.980747559
1024,0.974964117
1025,0.972371169
1026,0.972852794
1027,0.973673141
1028,0.972854051
1029,0.970838598
1030,0.968466262
1031,0.966171762
1032,0.964130708
1033,0.96257755
1034,0.961878027
1035,0.962208068
1036,0.962128474
1037,0.959467074
1038,0.953687025
1039,0.946761693
1040,0.940537384
1041,0.935002337
1042,0.929529132
1043,0.923983399
1044,0.918788785
1045,0.914247837
1046,0.910076706
1047,0.905900903
1048,0.902225475
1049,0.900290928
1050,0.900697961
1051,0.902222164
1052,0.903425415
1053,0.903938511
1054,0.904050056
1055,0.903987285
1056,0.903836834
1057,0.903571118
1058,0.902445238
1059,0.899420523
1060,0.894742691
1061,0.890509067
1062,0.888344952
1063,0.886741307
1064,0.883288757
1065,0.87797664
1066,0.873328488
1067,0.87119297
1068,0.870584938
1069,0.870014199
1070,0.869870035
1071,0.87198855
1072,0.876778159
1073,0.880976224
1074,0.881276932
1075,0.879424738
1076,0.879960466
1077,0.884345816
1078,0.888461859
1079,0.888451961
1080,0.8859517
1081,0.884728253
1082,0.885974469
1083,0.887540292
1084,0.88764534
1085,0.887164343
1086,0.887625275
1087,0.888690638
1088,0.888271242
1089,0.885373285
1090,0.882604423
1091,0.882981082
1092,0.88595819
1093,0.888582452
1094,0.889106413
1095,0.888498276
1096,0.887964579
1097,0.887761246
1098,0.88768827
1099,0.887822338
1100,0.888671778
1101,0.890449275
1102,0.89155229
1103,0.889843683
1104,0.88545929
1105,0.881052005
1106,0.87862839
1107,0.877303145
1108,0.875600405
1109,0.87333925
1110,0.8713691
1111,0.87005692
1112,0.868459583
1113,0.865602342
1114,0.862228882
1115,0.860044925
1116,0.859711061
1117,0.859992741
1118,0.859642745
1119,0.858601613
1120,0.857273428
1121,0.855823007
1122,0.854109336
1123,0.852104576
1124,0.850357667
1125,0.849563979
1126,0.850226726
1127,0.852674714
1128,0.85675924
1129,0.860947712
1130,0.863586228
1131,0.864536055
1132,0.864629182
1133,0.864610153
1134,0.865014295
1135,0.866261299
1136,0.868105073
1137,0.870005495
1138,0.871589855
1139,0.872724667
1140,0.87331257
1141,0.873343816
1142,0.872850495
1143,0.872211835
1144,0.872153168
1145,0.872968746
1146,0.873496446
1147,0.872394946
1148,0.86985921
1149,0.867159427
1150,0.864960678
1151,0.862535991
1152,0.859113196
1153,0.855076536
1154,0.851366202
1155,0.848489469
1156,0.846285095
1157,0.84460087
1158,0.843632792
1159,0.843673618
1160,0.844536826
1161,0.845522904
1162,0.846050633
1163,0.846043179
1164,0.845543093
1165,0.844715218
1166,0.843815338
1167,0.843029311
1168,0.842373265
1169,0.841816589
1170,0.841134252
1171,0.840006196
1172,0.838449786
1173,0.837027185
1174,0.836215915
1175,0.835743992
1176,0.835095581
1177,0.834221969
1178,0.833594608
1179,0.833501741
1180,0.833459963
1181,0.832828925
1182,0.83126581
1183,0.828657525
1184,0.825118108
1185,0.821298806
1186,0.817871489
1187,0.814975691
1188,0.812467552
1189,0.810028057
1190,0.80705489
1191,0.803054264
1192,0.798298299
1193,0.793337177
1194,0.788950537
1195,0.786175721
1196,0.785514728
1197,0.785444045
1198,0.78408603
1199,0.781258031
1200,0.778084688
1201,0.775422536
1202,0.773396982
1203,0.772001432
1204,0.771020518
1205,0.770130812
1206,0.769091096
1207,0.767795186
1208,0.766220644
1209,0.764744338
1210,0.763865207
1211,0.763619986
1212,0.763534875
1213,0.763286504
1214,0.763186417
1215,0.763661424
1216,0.76474547
1217,0.766177372
1218,0.767745039
1219,0.769368132
1220,0.770970175
1221,0.7723475
1222,0.773239616
1223,0.773834775
1224,0.775020037
1225,0.777441303
1226,0.780142965
1227,0.781674185
1228,0.78144936
1229,0.779792432
1230,0.777002955
1231,0.773151917
1232,0.768290478
1233,0.762847427
1234,0.75751745
1235,0.752618028
1236,0.747628927
1237,0.742063929
1238,0.736571355
1239,0.732317494
1240,0.729624601
1241,0.727585275
1242,0.725439888
1243,0.72362089
1244,0.722897967
1245,0.723478725
1246,0.725024491
1247,0.727140057
1248,0.729325274
1249,0.731068038
1250,0.731952834
1251,0.731630718
1252,0.730258957
1253,0.729000486
1254,0.728954823
1255,0.729952283
1256,0.731294176
1257,0.73268729
1258,0.734373301
1259,0.736512573
1260,0.738756765
1261,0.740648282
1262,0.742244036
1263,0.744049808
1264,0.746376197
1265,0.748961207
1266,0.751431723
1267,0.753268378
1268,0.753869924
1269,0.752854248
1270,0.750225774
1271,0.746206859
1272,0.742093179
1273,0.739534232
1274,0.738822155
1275,0.738681344
1276,0.738141413
1277,0.737692391
1278,0.738103878
1279,0.739259443
1280,0.74036912
1281,0.74099058
1282,0.741532388
1283,0.74236935
1284,0.742588991
1285,0.740668006
1286,0.736575876
1287,0.732537881
1288,0.73043893
1289,0.729522096
1290,0.728260087
1291,0.726377306
1292,0.72483376
1293,0.724353901
1294,0.724770442
1295,0.725785051
1296,0.727573816
1297,0.730611565
1298,0.734615187
1299,0.737815675
1300,0.738608582
1301,0.737638632
1302,0.736446904
1303,0.735593751
1304,0.734404777
1305,0.732407772
1306,0.730269593
1307,0.728879174
1308,0.728025751
1309,0.726600992
1310,0.72411204
1311,0.721669634
1312,0.72043564
1313,0.719826963
1314,0.718360608
1315,0.71572512
1316,0.713478852
1317,0.712930182
1318,0.71319971
1319,0.712739592
1320,0.711164182
1321,0.709274914
1322,0.707778577
1323,0.706909348
1324,0.706798199
1325,0.707466426
1326,0.70886157
1327,0.710707943
1328,0.712291584
1329,0.712914418
1330,0.712333035
1331,0.710502163
1332,0.707731451
1333,0.704775359
1334,0.702211721
1335,0.69979406
1336,0.697103136
1337,0.694273278
1338,0.691883608
1339,0.690257162
1340,0.689060711
1341,0.687932935
1342,0.687115505
1343,0.687152517
1344,0.688323912
1345,0.690503698
1346,0.693430782
1347,0.696339199
1348,0.69832888
1349,0.699006642
1350,0.698470657
1351,0.696901989
1352,0.694669148
1353,0.692110484
1354,0.688856545
1355,0.684109437
1356,0.67768631
1357,0.670540628
1358,0.6636672
1359,0.657570669
1360,0.652561891
1361,0.64871251
1362,0.645819867
1363,0.643638587
1364,0.641823589
1365,0.640062217
1366,0.638796214
1367,0.639011565
1368,0.641001014
1369,0.643526502
1370,0.645218564
1371,0.645222112
1372,0.642927722
1373,0.638308218
1374,0.632117622
1375,0.625157694
1376,0.618199222
1377,0.611974323
1378,0.60669149
1379,0.602117414
1380,0.598030413
1381,0.594273548
1382,0.590774538
1383,0.588125099
1384,0.587254616
1385,0.588443211
1386,0.59095897
1387,0.593958162
1388,0.596472745
1389,0.59755035
1390,0.597424766
1391,0.597475847
1392,0.598472883
1393,0.599254411
1394,0.598473697
1395,0.596548495
1396,0.594944378
1397,0.594254928
1398,0.593509125
1399,0.591852495
1400,0.590038536
1401,0.589346268
1402,0.589575636
1403,0.588913776
1404,0.586248498
1405,0.583090399
1406,0.581315233
1407,0.580533719
1408,0.578842
1409,0.575483218
1410,0.572027567
1411,0.570043314
1412,0.569276147
1413,0.568751474
1414,0.568149331
1415,0.56794451
1416,0.568474911
1417,0.569383333
1418,0.57020359
1419,0.571246837
1420,0.573398452
1421,0.576765116
1422,0.579714898
1423,0.580677222
1424,0.580247292
1425,0.579971049
1426,0.580479112
1427,0.581184802
1428,0.581589821
1429,0.581911274
1430,0.582504488
1431,0.582953764
1432,0.582221704
1433,0.579916238
1434,0.577233094
1435,0.575427786
1436,0.574347657
1437,0.573161339
1438,0.571394996
1439,0.569092124
1440,0.566313859
1441,0.563021382
1442,0.559174735
1443,0.555223898
1444,0.552043671
1445,0.550212758
1446,0.549512307
1447,0.549608832
1448,0.550272628
1449,0.551328631
1450,0.552637319
1451,0.554112439
1452,0.555769898
1453,0.558096492
1454,0.561673461
1455,0.56615123
1456,0.570329076
1457,0.573410757
1458,0.57578695
1459,0.577953743
1460,0.579516241
1461,0.579600308
1462,0.577924193
1463,0.575155523
1464,0.57186635
1465,0.56771795
1466,0.562130175
1467,0.555489961
1468,0.549104115
1469,0.543841869
1470,0.539231847
1471,0.53466079
1472,0.530430845
1473,0.527354891
1474,0.525704529
1475,0.524855729
1476,0.524204992
1477,0.523689686
1478,0.523411085
1479,0.523199663
1480,0.522622191
1481,0.521465726
1482,0.520186557
1483,0.51928724
1484,0.518526298
1485,0.517240475
1486,0.515330118
1487,0.513641714
1488,0.512928284
1489,0.512974509
1490,0.513258137
1491,0.513531349
1492,0.513815913
1493,0.514061489
1494,0.5139748
1495,0.513261793
1496,0.512063543
1497,0.510771408
1498,0.509662157
1499,0.508816835
1500,0.508331759
1501,0.508481491
1502,0.509594127
1503,0.511885991
1504,0.515464022
1505,0.520244332
1506,0.525605476
1507,0.530878425
1508,0.535877406
1509,0.540689715
1510,0.545201079
1511,0.548962024
1512,0.551601038
1513,0.553309764
1514,0.554445838
1515,0.555040263
1516,0.554811776
1517,0.55370114
1518,0.55230851
1519,0.551278047
1520,0.550574538
1521,0.549788205
1522,0.548699917
1523,0.547399128
1524,0.545954699
1525,0.544197301
1526,0.541893127
1527,0.53899497
1528,0.535627659
1529,0.531871496
1530,0.527669602
1531,0.52300098
1532,0.51837682
1533,0.514581248
1534,0.511823312
1535,0.509437078
1536,0.506790985
1537,0.503758279
1538,0.500371667
1539,0.496867756
1540,0.493661403
1541,0.491087415
1542,0.489262457
1543,0.488230086
1544,0.487704917
1545,0.487242782
1546,0.486687648
1547,0.486295767
1548,0.486404477
1549,0.487567953
1550,0.490331677
1551,0.494120199
1552,0.497441032
1553,0.499313146
1554,0.500019601
1555,0.500012024
1556,0.499645377
1557,0.499226744
1558,0.49893927
1559,0.498802867
1560,0.498717375
1561,0.498147046
1562,0.49651934
1563,0.494311313
1564,0.492789836
1565,0.492632533
1566,0.4932108
1567,0.493796106
1568,0.494136903
1569,0.494184748
1570,0.493944723
1571,0.493485657
1572,0.492949447
1573,0.49272673
1574,0.493205065
1575,0.494027857
1576,0.494332528
1577,0.493719922
1578,0.492705205
1579,0.491837602
1580,0.491236354
1581,0.490854626
1582,0.490550097
1583,0.490077255
1584,0.489195636
1585,0.487697241
1586,0.485443167
1587,0.482974017
1588,0.481238971
1589,0.480572831
1590,0.480244517
1591,0.47952643
1592,0.47826919
1593,0.476516923
1594,0.474351261
1595,0.471889867
1596,0.469321682
1597,0.467029106
1598,0.465345027
1599,0.463844951
1600,0.46170933
1601,0.458737351
1602,0.455663694
1603,0.453165729
1604,0.451305323
1605,0.449970311
1606,0.449083382
1607,0.448596183
1608,0.448346004
1609,0.447895746
1610,0.446853393
1611,0.445478088
1612,0.444316579
1613,0.443397872
1614,0.442076292
1615,0.439930019
1616,0.437574984
1617,0.43580918
1618,0.434501132
1619,0.432852195
1620,0.430669924
1621,0.429015609
1622,0.428879134
1623,0.429838888
1624,0.430954411
1625,0.432212353
1626,0.434627024
1627,0.43865777
1628,0.442812878
1629,0.445400815
1630,0.446789584
1631,0.448590135
1632,0.451244068
1633,0.453180314
1634,0.453068405
1635,0.451835413
1636,0.451069273
1637,0.45097574
1638,0.450476622
1639,0.449057135
1640,0.447812926
1641,0.447930168
1642,0.449135058
1643,0.450429421
1644,0.451513459
1645,0.453077419
1646,0.455499766
1647,0.457543408
1648,0.457662603
1649,0.456014652
1650,0.454063455
1651,0.452528892
1652,0.450466813
1653,0.446913329
1654,0.442208946
1655,0.437214379
1656,0.432327399
1657,0.427410893
1658,0.422506426
1659,0.4183478
1660,0.41570243
1661,0.414110018
1662,0.412350637
1663,0.409906907
1664,0.407492066
1665,0.40579479
1666,0.404738591
1667,0.404003136
1668,0.403379152
1669,0.402760797
1670,0.402080932
1671,0.401363119
1672,0.400675807
1673,0.400340743
1674,0.400795409
1675,0.402016492
1676,0.403346755
1677,0.404266094
1678,0.404993516
1679,0.405899531
1680,0.406861663
1681,0.407394425
1682,0.407261224
1683,0.406749486
1684,0.406145636
1685,0.405330406
1686,0.40404361
1687,0.40244995
1688,0.401173812
1689,0.400551861
1690,0.39996745
1691,0.398706453
1692,0.396905958
1693,0.395187107
1694,0.393713613
1695,0.391918688
1696,0.389381137
1697,0.386664237
1698,0.384570392
1699,0.383059051
1700,0.381383863
1701,0.379242363
1702,0.377410093
1703,0.376659377
1704,0.376640417
1705,0.376528428
1706,0.376101684
1707,0.375870783
1708,0.376130711
1709,0.376277354
1710,0.37559862
1711,0.374380846
1712,0.373543778
1713,0.373451799
1714,0.373483864
1715,0.373110257
1716,0.372795939
1717,0.373293128
1718,0.374624555
1719,0.376144074
1720,0.377421497
1721,0.378636761
1722,0.379998719
1723,0.381188511
1724,0.381646636
1725,0.381263956
1726,0.380519945
1727,0.379751863
1728,0.37861654
1729,0.376666419
1730,0.374147066
1731,0.371775189
1732,0.369879339
1733,0.368051323
1734,0.365928488
1735,0.363845841
1736,0.362348699
1737,0.361319864
1738,0.360003898
1739,0.358026056
1740,0.356093745
1741,0.354974464
1742,0.354449386
1743,0.353820947
1744,0.352921332
1745,0.352301584
1746,0.352297051
1747,0.35220876
1748,0.35116772
1749,0.349362509
1750,0.347719116
1751,0.346640812
1752,0.345511297
1753,0.343779772
1754,0.341913141
1755,0.340699907
1756,0.340110783
1757,0.339320139
1758,0.337929793
1759,0.33677757
1760,0.336759796
1761,0.337541567
1762,0.338186826
1763,0.338338855
1764,0.338425847
1765,0.338761182
1766,0.339004191
1767,0.338718303
1768,0.338256955
1769,0.338516117
1770,0.339770446
1771,0.341119078
1772,0.341756589
1773,0.342112174
1774,0.343000323
1775,0.34442203
1776,0.345606425
1777,0.346052685
1778,0.346039353
1779,0.345884313
1780,0.345221621
1781,0.343377744
1782,0.340480516
1783,0.337693273
1784,0.335807416
1785,0.334009319
1786,0.331240952
1787,0.32789314
1788,0.325301416
1789,0.32401886
1790,0.323199101
1791,0.322077644
1792,0.321039884
1793,0.320797395
1794,0.321253209
1795,0.321592703
1796,0.321409431
1797,0.321337053
1798,0.322005335
1799,0.322900121
1800,0.323026762
1801,0.322242487
1802,0.321421976
1803,0.321177199
1804,0.321052495
1805,0.320440759
1806,0.319469116
1807,0.318699281
1808,0.318260946
1809,0.317587648
1810,0.316294758
1811,0.315117188
1812,0.315029345
1813,0.315707344
1814,0.315793155
1815,0.31485706
1816,0.314512207
1817,0.316225857
1818,0.31886411
1819,0.320348328
1820,0.320525791
1821,0.321279754
1822,0.323615791
1823,0.325725138
1824,0.325612317
1825,0.3241243
1826,0.32355956
1827,0.324200593
1828,0.323506585
1829,0.319736401
1830,0.315098854
1831,0.312532917
1832,0.311928822
1833,0.311073293
1834,0.309058379
1835,0.307441292
1836,0.30766768
1837,0.309187897
1838,0.310824599
1839,0.312056335
1840,0.31295449
1841,0.313621971
1842,0.314186361
1843,0.314782936
1844,0.315576295
1845,0.316728716
1846,0.317929117
1847,0.318312821
1848,0.317343518
1849,0.315638963
1850,0.314005454
1851,0.312825367
1852,0.312233683
1853,0.312176814
1854,0.312320758
1855,0.312308732
1856,0.311786118
1857,0.310458358
1858,0.308876702
1859,0.308213726
1860,0.308697278
1861,0.308686201
1862,0.30673866
1863,0.303768839
1864,0.301443588
1865,0.299791887
1866,0.297289368
1867,0.293213392
1868,0.289022589
1869,0.286253967
1870,0.284466081
1871,0.282349719
1872,0.279878216
1873,0.278574373
1874,0.27940208
1875,0.28118709
1876,0.282474789
1877,0.28342393
1878,0.285121673
1879,0.287767498
1880,0.290191104
1881,0.291430406
1882,0.291908563
1883,0.292363914
1884,0.292746718
1885,0.292428795
1886,0.291322749
1887,0.290409257
1888,0.290536679
1889,0.291142309
1890,0.291209605
1891,0.290400586
1892,0.289006859
1893,0.287358241
1894,0.285819768
1895,0.284697805
1896,0.283836607
1897,0.282875853
1898,0.281409713
1899,0.278981148
1900,0.275520082
1901,0.27216682
1902,0.270152109
1903,0.269340369
1904,0.268848514
1905,0.268165449
1906,0.267322879
1907,0.266441576
1908,0.265829576
1909,0.265835129
1910,0.266730137
1911,0.268727463
1912,0.271450004
1913,0.273481025
1914,0.273737044
1915,0.273336952
1916,0.274000073
1917,0.275930107
1918,0.278056558
1919,0.279584329
1920,0.280407886
1921,0.280545356
1922,0.280220154
1923,0.279736242
1924,0.279408806
1925,0.279563859
1926,0.280209564
1927,0.28049215
1928,0.279560863
1929,0.277750635
1930,0.275955129
1931,0.274623517
1932,0.273646761
1933,0.272831168
1934,0.271816508
1935,0.270254465
1936,0.26827634
1937,0.26629365
1938,0.264654484
1939,0.263605978
1940,0.263283578
1941,0.263394228
1942,0.263552288
1943,0.263617222
1944,0.263621679
1945,0.263538032
1946,0.263222616
1947,0.262537564
1948,0.261437159
1949,0.259908241
1950,0.257993844
1951,0.255784921
1952,0.253424723
1953,0.251167613
1954,0.249241116
1955,0.247611454
1956,0.246154943
1957,0.245015932
1958,0.244609456
1959,0.24516289
1960,0.246376857
1961,0.247909227
1962,0.249751053
1963,0.252034356
1964,0.2544274
1965,0.256043666
1966,0.256366832
1967,0.256157274
1968,0.256308415
1969,0.25657981
1970,0.256117222
1971,0.254668921
1972,0.25283963
